,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
700570,700570,Beyond the Void,B2Expand,B2Expand,,73,45,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
592730,592730,Aerial Destruction,Devdan Games,Devdan Games,,66,26,0,"50,000 .. 100,000",110,0,150,0,499,499,0,1
524010,524010,Siege of Centauri,Stardock Entertainment,Stardock Entertainment,,192,106,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,5
527990,527990,Gladiator Trainer,Pilgrim Adventures,Senpai Studios,,137,54,0,"50,000 .. 100,000",242,0,255,0,49,199,75,6
454180,454180,CrazyCars3D,Anea_Duo_Dev,Anea_Duo_Dev,,139,68,0,"50,000 .. 100,000",271,0,291,0,299,299,0,0
449730,449730,Ahnayro: The Dream World,Alice &amp; Smith,Alice &amp; Smith,,184,22,0,"50,000 .. 100,000",462,0,575,0,499,499,0,5
641780,641780,The Drone Racing League Simulator,The Drone Racing League,The Drone Racing League,,1269,247,0,"50,000 .. 100,000",268,16,328,16,999,999,0,147
529720,529720,bob's game,Robert Pelloni,Bob Corporation,,42,21,0,"50,000 .. 100,000",17,0,17,0,0,0,0,0
851800,851800,G2 Fighter / 基因特工,Orbit Games,HeyBox Interactive,,2475,432,0,"50,000 .. 100,000",620,0,904,0,1599,1599,0,9
939100,939100,Darksburg,Shiro Games,Shiro Games,,860,337,0,"50,000 .. 100,000",30,0,30,0,1999,1999,0,54
280520,280520,Crea,Siege Games,Siege Games,,959,252,0,"50,000 .. 100,000",140,0,140,0,1499,1499,0,6
295670,295670,Hive Jump,Graphite Lab,Graphite Lab,,254,96,0,"50,000 .. 100,000",417,0,417,0,1999,1999,0,1
823600,823600,Battle Brawlers,"Suzhou DaYu Network Technology Co., Ltd., 蘇州大禹網絡科技有限公司, 苏州大禹网络科技有限公司","Suzhou DaYu Network Technology Co., Ltd., 蘇州大禹網絡科技有限公司, 苏州大禹网络科技有限公司",,102,76,0,"50,000 .. 100,000",0,0,0,0,0,0,0,4
253190,253190,Kingdom Wars 2: Battles,Reverie World Studios,Golden Game Barn,,610,350,0,"50,000 .. 100,000",8017,0,8017,0,0,0,0,0
342020,342020,BiT Evolution,Major Games,Major Games,,92,71,0,"50,000 .. 100,000",209,0,196,0,999,999,0,1
506730,506730,Dinosaur Forest,Racing Bros,Racing Bros,,310,249,0,"50,000 .. 100,000",232,0,244,0,199,199,0,0
1088090,1088090,Day of Dragons,Beawesome Games,Beawesome Games,,950,707,0,"50,000 .. 100,000",8656,736,8656,736,1999,1999,0,24
316430,316430,Battle of Empires : 1914-1918,Great War Team,Best Way Soft,,1250,596,0,"50,000 .. 100,000",224,0,258,0,899,899,0,25
354860,354860,The Adventures of Tree,Dune Clockidy,"Dune Clockidy, Tiger Studios",,342,100,0,"50,000 .. 100,000",300,0,343,0,499,499,0,1
503220,503220,Samurai Wars,Greendev.,Vita Games,,13,26,0,"50,000 .. 100,000",258,262,281,270,99,99,0,283
599080,599080,The Blackout Club,Question,Question,,1585,274,0,"50,000 .. 100,000",232,0,307,0,2999,2999,0,86
365810,365810,Flying Tigers: Shadows Over China,ACE MADDOX,ACE MADDOX,,572,234,0,"50,000 .. 100,000",199,0,224,0,1499,1499,0,1
346370,346370,Into The War,Small Town Studios,Small Town Studios,,112,381,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
666330,666330,Inertia,Loneminded,Loneminded,,318,59,0,"50,000 .. 100,000",115,0,115,0,49,99,51,5
725480,725480,Slap City,Ludosity,Ludosity,,2214,121,0,"50,000 .. 100,000",227,0,259,0,1999,1999,0,31
402220,402220,Lift It,89AM Studio,89AM Studio,,51,48,0,"50,000 .. 100,000",452,0,452,0,499,499,0,0
365160,365160,Kona,Parabole,"Parabole, Ravenscourt",,1990,394,0,"50,000 .. 100,000",402,0,584,0,1499,1499,0,8
506870,506870,Unexplored,Ludomotion,Ludomotion,,530,62,0,"50,000 .. 100,000",210,0,319,0,999,999,0,4
475430,475430,Kimulator : Fight for your destiny,Bmc Studio,Bmc Studio,,288,169,0,"50,000 .. 100,000",380,0,394,0,199,199,0,1
359840,359840,Shift Happens,Klonk Games,"Klonk Games, Deck13, FFF Bayern",,324,42,0,"50,000 .. 100,000",80,0,117,0,1499,1499,0,6
352950,352950,Better Late Than DEAD,Odin Game Studio,Excalibur Publishing,,255,628,0,"50,000 .. 100,000",0,0,0,0,499,499,0,1
690610,690610,MagiCats Builder (Crazy Dreamz),Dreamz Studio,Dreamz Studio,,129,72,0,"50,000 .. 100,000",8,0,8,0,0,0,0,0
525360,525360,Shio,Coconut Island Studio,Coconut Island Games,,1042,282,0,"50,000 .. 100,000",344,0,344,0,1199,1199,0,4
367270,367270,Angels Fall First,Strangely Interactive Ltd,Strangely Interactive Ltd,,1806,379,0,"50,000 .. 100,000",177,0,324,0,1799,1799,0,6
455710,455710,Project RPG Remastered,Acuze Interactives,Displacement Studios,,68,106,0,"50,000 .. 100,000",208,0,213,0,99,99,0,1
1249620,1249620,"Adventures of JQ Jones: ""Isle of the Serpent Empress""",playerzklubVRstudios,"MBB VRSolutions, LLC",,0,1,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,0
741670,741670,Easy Red,Marco Amadei,Corvostudio di Amadei Marco,,692,170,0,"50,000 .. 100,000",58,0,64,0,399,399,0,2
331790,331790,Data Hacker: Reboot,New Reality Games,New Reality Games,,115,73,0,"50,000 .. 100,000",230,0,240,0,49,499,90,1
454060,454060,Blueprint Tycoon,Endless Loop Studios,Endless Loop Studios,,812,186,0,"50,000 .. 100,000",196,0,233,0,74,299,75,10
1183970,1183970,Hentai Nazi,"AmagSwag Games, Love Anime",AmagSwag Games,,1775,143,0,"50,000 .. 100,000",43,0,26,0,199,199,0,7
617480,617480,Tower of Time,Event Horizon,Event Horizon,,1357,221,0,"50,000 .. 100,000",106,0,135,0,999,2499,60,26
591460,591460,Parkasaurus,Washbear Studio,Washbear Studio,,1497,74,0,"50,000 .. 100,000",405,0,697,0,1999,2499,20,65
451840,451840,Out of Ammo,RocketWerkz,RocketWerkz,,542,104,0,"50,000 .. 100,000",1091,0,1091,0,999,999,0,4
439550,439550,'n Verlore Verstand,Skobbejak Games,Skobbejak Games,,45,58,0,"50,000 .. 100,000",273,0,273,0,1499,1499,0,0
575950,575950,Blood Feed,Racing Bros,Racing Bros,,316,163,0,"50,000 .. 100,000",188,0,213,0,499,499,0,1
811750,811750,Breach of Contract Reloaded,Toy Soldier Studios,Toy Soldier Studios,,112,126,0,"50,000 .. 100,000",18,0,18,0,0,0,0,1
587460,587460,Knightfall: Rivals,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,58,42,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
340490,340490,Subterrain,Pixellore,Pixellore,,805,228,0,"50,000 .. 100,000",437,0,316,0,1699,1699,0,20
517160,517160,Richie's Plank Experience,Toast,Toast,,387,87,0,"50,000 .. 100,000",124,0,152,0,1499,1499,0,18
356070,356070,Commander Cool 2,Orlyapps,Orlyapps,,908,123,0,"50,000 .. 100,000",263,0,289,0,299,299,0,0
343280,343280,Zotrix,ZeroBit Games,Ocean Media LLC,,127,74,0,"50,000 .. 100,000",306,0,327,0,1299,1299,0,1
629220,629220,Rise of Insanity,Red Limb Studio,Red Limb Studio,,575,153,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1
1281080,1281080,Train Station Renovation - First Job,Live Motion Games,"Live Motion Games, PlayWay S.A.",,427,77,0,"50,000 .. 100,000",0,0,0,0,0,0,0,13
434020,434020,Last Hope - Tower Defense,JE Software,JE Software,,303,56,0,"50,000 .. 100,000",1,0,1,0,899,899,0,3
555880,555880,Sairento VR,"Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd",Mixed Realms Pte Ltd,,1188,156,0,"50,000 .. 100,000",182,0,184,0,2999,2999,0,6
568720,568720,The Agony,KishMish Games,KishMish Games,,116,95,0,"50,000 .. 100,000",0,0,0,0,99,99,0,0
357310,357310,Oriental Empires,Shining Pixel Studios,Iceberg Interactive,,1834,457,0,"50,000 .. 100,000",262,0,291,0,2999,2999,0,62
244030,244030,Take On Mars,Bohemia Interactive,Bohemia Interactive,,981,794,0,"50,000 .. 100,000",179,0,246,0,2699,2699,0,2
386140,386140,After The End: The Harvest,Elushis,Elushis Music &amp; Gaming,,40,20,0,"50,000 .. 100,000",410,0,410,0,499,499,0,0
1040070,1040070,Merchant of the Skies,Coldwild Games,Coldwild Games,,752,111,0,"50,000 .. 100,000",69,0,72,0,1499,1499,0,10
425670,425670,Seraph,Dreadbit,Dreadbit,,419,86,0,"50,000 .. 100,000",312,0,410,0,1299,1299,0,0
360510,360510,Into the Stars,Fugitive Games,Iceberg Interactive,,208,282,0,"50,000 .. 100,000",177,0,177,0,1999,1999,0,0
787040,787040,Perfect Heist,yeswecamp,yeswecamp,,172,92,0,"50,000 .. 100,000",123,0,129,0,499,499,0,4
