,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1213570,1213570,Cave Quest,MD Studio,HH-Games,,37,1,0,"0 .. 20,000",0,0,0,0,499,499,0,3
1212100,1212100,fishy,Sokpop Collective,Sokpop Collective,,74,18,0,"0 .. 20,000",0,0,0,0,299,299,0,3
363270,363270,O3DX,Egamea Game Studios,Egamea Game Studios,,38,23,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1245930,1245930,Flaming Friday Night,HiderumStudios,HiderumStudios,,1,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
674160,674160,Slasher VR,Listener Online II Inc,Listener Online II Inc,,3,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
399140,399140,Straima,Anthony Case,Caiysware,,50,5,0,"0 .. 20,000",0,0,0,0,499,499,0,1
399000,399000,Porradaria Upgrade,CleanWaterSoft,CleanWaterSoft,,40,17,0,"0 .. 20,000",248,0,248,0,0,0,0,0
537000,537000,Nelo,Magic and Mirrors,Magic and Mirrors,,84,28,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
768060,768060,The Warrior Of Treasures,"Tero Lunkka, BlackThug",Tero Lunkka,,30,14,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1408960,1408960,The Good Book VN,MB aka FRANK,"M byrne, FRANK",,6,3,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1417670,1417670,Zombie camping,Rabotiagi games,Rabotiagi games,,13,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
523670,523670,Adventures Of Fluzz,TopArcadeApps,TopArcadeApps,,22,22,0,"0 .. 20,000",0,0,0,0,399,399,0,0
264460,264460,A-Men,Bloober Team SA,Bloober Team SA,,24,27,0,"0 .. 20,000",205,0,205,0,999,999,0,0
602150,602150,Desert Battle,威震天科技,威震天科技,,0,1,0,"0 .. 20,000",0,0,0,0,599,599,0,0
534780,534780,XGun-Weapon Evolution,"Surf Monster Studio, Kinn Chen, Vicky, Chih-Hsuan Huang",Surf Monster Studio,,107,9,0,"0 .. 20,000",0,0,0,0,399,399,0,0
486990,486990,Jump Stars,Jamit Games,CDP,,14,18,0,"0 .. 20,000",8,0,8,0,999,999,0,0
350610,350610,Combat Cats,Dingo Dango,Dingo Dango,,36,6,0,"0 .. 20,000",0,0,0,0,299,299,0,0
401120,401120,Anode,Kittehface Software,Kittehface Software,,68,10,0,"0 .. 20,000",0,0,0,0,399,399,0,1
1296180,1296180,Risky Floors,cBlck,cBlck,,0,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1288630,1288630,City Defender,RTISATTO,RTISATTO,,2,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
